iter	CrossEntropy
0	0.6784410312
1	0.6628518763
2	0.6494937671
3	0.6357166825
4	0.6235158144
5	0.6113554605
6	0.6005911846
7	0.5887857136
8	0.5784708433
9	0.569557036
10	0.5610710897
11	0.5536426622
12	0.5462331218
13	0.5375381572
14	0.5307608431
15	0.5236218052
16	0.5172037443
17	0.5091787836
18	0.50338766
19	0.4987272494
20	0.4934601336
21	0.4878523834
22	0.4834856654
23	0.478099856
24	0.4729279647
25	0.4686689135
26	0.4647149708
27	0.4612247489
28	0.4577888051
29	0.4545116382
30	0.4508834779
31	0.4469080031
32	0.4434570566
33	0.4402772696
34	0.4377295752
35	0.4354581118
36	0.4327157785
37	0.4298345404
38	0.4274755355
39	0.4247724682
40	0.4225120447
41	0.4203698896
42	0.4180566339
43	0.4162149948
44	0.4141194966
45	0.4120657498
46	0.4102729643
47	0.4083093374
48	0.4065522308
49	0.4049899319
50	0.4034100005
51	0.4017676428
52	0.4001644666
53	0.3983937711
54	0.3966341666
55	0.3951788172
56	0.3937298964
57	0.3924592338
58	0.3912700952
59	0.389946437
60	0.3886470832
61	0.3872952446
62	0.3861980673
63	0.384897601
64	0.383881221
65	0.3826553316
66	0.3813010845
67	0.3801057683
68	0.3789229416
69	0.3777317163
70	0.3767863363
71	0.375747338
72	0.3745820073
73	0.3733831109
74	0.3725429805
75	0.3713964771
76	0.3702417673
77	0.3693871589
78	0.368308239
79	0.3673628801
80	0.3664003318
81	0.3653102555
82	0.3644557043
83	0.3634452845
84	0.3626369845
85	0.3617189586
86	0.3608488098
87	0.3599195761
88	0.3586512536
89	0.3576021684
90	0.3568251733
91	0.3561040383
92	0.3552425237
93	0.3546347478
94	0.3536916322
95	0.3528219518
96	0.3519492676
97	0.3511439083
98	0.3504877733
99	0.3497504765
100	0.3490521842
101	0.3481369125
102	0.3474572937
103	0.3466432443
104	0.345649225
105	0.3448818997
106	0.3440920405
107	0.3433113136
108	0.3425864713
109	0.341990802
110	0.3412611117
111	0.3407175718
112	0.3401206017
113	0.3392762948
114	0.3384677214
115	0.3376995255
116	0.3369140473
117	0.3361878765
118	0.335455998
119	0.3346241094
120	0.333813806
121	0.3332146502
122	0.3324973503
123	0.3318137334
124	0.3314415732
125	0.330911676
126	0.3302584687
127	0.3297779629
128	0.3291620049
129	0.3285364651
130	0.3279716398
131	0.3274135611
132	0.3269342168
133	0.3264169367
134	0.3256816426
135	0.325099621
136	0.3243428152
137	0.3236350973
138	0.3230607149
139	0.3224986164
140	0.321963783
141	0.3215297236
142	0.321001766
143	0.3204192171
144	0.3198764289
145	0.319384732
146	0.3189570209
147	0.3184288257
148	0.3176801719
149	0.3170003723
150	0.3165843299
151	0.3160457519
152	0.3155597752
153	0.3151986317
154	0.3146012039
155	0.3140290216
156	0.313477995
157	0.3128405175
158	0.312222609
159	0.3116153389
160	0.3111976775
161	0.3108019142
162	0.3102219867
163	0.3095681279
164	0.3091124477
165	0.3086643041
166	0.3081343156
167	0.3076222207
168	0.3072453838
169	0.3067604384
170	0.3062835268
171	0.3059968221
172	0.3054778485
173	0.3051994544
174	0.3047603033
175	0.3040875869
176	0.3034287959
177	0.3028402055
178	0.3024009432
179	0.3019870805
180	0.301410498
181	0.3008725587
182	0.3004363094
183	0.3000132218
184	0.2995860765
185	0.299127744
186	0.2985898069
187	0.298064286
188	0.297613031
189	0.2972345899
190	0.2968718643
191	0.2964987046
192	0.2958601407
193	0.2954144962
194	0.294693293
195	0.2942081448
196	0.2938822629
197	0.2935151831
198	0.2931095348
199	0.2926377634
200	0.2922441748
201	0.2917523353
202	0.2914081588
203	0.2908472204
204	0.2902938219
205	0.2899345947
206	0.2896860934
207	0.2891014639
208	0.2886911363
209	0.2882748039
210	0.2879219583
211	0.2874598516
212	0.2870667829
213	0.2866424558
214	0.2863120329
215	0.2858408828
216	0.2852933441
217	0.2847644949
218	0.2841983081
219	0.2836462546
220	0.2831485165
221	0.2825714326
222	0.2822285155
223	0.2818589629
224	0.2814066805
225	0.2809420215
226	0.2807063039
227	0.2803524543
228	0.2799069055
229	0.2792767693
230	0.2788318927
231	0.2785830413
232	0.2782591891
233	0.2780230219
234	0.2774668104
235	0.2770649705
236	0.2764884546
237	0.2760745321
238	0.2756941507
239	0.2751789605
240	0.2746658908
241	0.274034306
242	0.2736412718
243	0.2732685294
244	0.2729121356
245	0.2726490254
246	0.27217552
247	0.2717780076
248	0.2713363493
249	0.2706835796
250	0.2702833254
251	0.2697979457
252	0.2692733895
253	0.2688040474
254	0.2682905168
255	0.2679227744
256	0.2675499057
257	0.2670731189
258	0.2666456134
259	0.2662338566
260	0.2658835597
261	0.2654503182
262	0.26497378
263	0.2645712094
264	0.2641471561
265	0.2635398501
266	0.2631578901
267	0.262633147
268	0.2620807727
269	0.2616688122
270	0.2612012532
271	0.2607570611
272	0.2603389975
273	0.2599631326
274	0.2595580711
275	0.2590730722
276	0.2586275502
277	0.2581033507
278	0.2576937507
279	0.2570666126
280	0.2566091914
281	0.2560797552
282	0.2556029143
283	0.255189665
284	0.2547333965
285	0.2544460534
286	0.2539667621
287	0.2534096595
288	0.2530227953
289	0.2526281564
290	0.2521906183
291	0.251868897
292	0.2513235807
293	0.2510374248
294	0.2503796317
295	0.2499095565
296	0.2494370479
297	0.2490340142
298	0.2486354609
299	0.2480675539
300	0.2476358299
301	0.2472197851
302	0.2467146693
303	0.2461776063
304	0.2456893295
