iter	Passed	Remaining
0	22	22469
1	37	18581
2	51	17119
3	63	15855
4	75	15112
5	88	14591
6	100	14260
7	113	14128
8	127	13997
9	140	13936
10	154	13862
11	167	13796
12	181	13784
13	196	13830
14	211	13876
15	225	13867
16	240	13891
17	254	13877
18	268	13841
19	282	13850
20	297	13856
21	311	13839
22	325	13827
23	339	13817
24	354	13813
25	369	13833
26	384	13843
27	398	13819
28	413	13838
29	427	13832
30	442	13834
31	456	13796
32	470	13779
33	482	13721
34	496	13692
35	511	13703
36	526	13691
37	541	13704
38	556	13706
39	570	13689
40	585	13691
41	600	13691
42	615	13688
43	629	13687
44	644	13686
45	659	13682
46	672	13636
47	686	13605
48	699	13575
49	713	13565
50	726	13517
51	741	13512
52	755	13502
53	770	13491
54	785	13495
55	800	13498
56	814	13483
57	828	13454
58	842	13436
59	856	13421
60	871	13422
61	887	13420
62	902	13415
63	916	13406
64	931	13400
65	945	13386
66	959	13366
67	973	13343
68	987	13325
69	1001	13309
70	1016	13303
71	1032	13302
72	1046	13295
73	1061	13286
74	1076	13273
75	1090	13252
76	1104	13238
77	1119	13235
78	1133	13217
79	1148	13209
80	1163	13196
81	1177	13185
82	1191	13166
83	1205	13143
84	1219	13125
85	1233	13106
86	1247	13095
87	1260	13066
88	1274	13043
89	1287	13021
90	1302	13006
91	1316	12989
92	1330	12976
93	1344	12960
94	1359	12948
95	1373	12938
96	1388	12924
97	1402	12910
98	1416	12892
99	1431	12881
100	1444	12857
101	1458	12837
102	1472	12822
103	1487	12814
104	1500	12793
105	1514	12776
106	1528	12756
107	1542	12740
108	1556	12725
109	1570	12706
110	1584	12691
111	1599	12679
112	1614	12673
113	1629	12660
114	1644	12652
115	1659	12644
116	1673	12626
117	1688	12617
118	1703	12609
119	1716	12589
120	1729	12567
121	1744	12552
122	1757	12532
123	1772	12519
124	1785	12501
125	1799	12482
126	1813	12467
127	1827	12446
128	1840	12428
129	1854	12410
130	1867	12390
131	1881	12371
132	1894	12352
133	1909	12337
134	1922	12320
135	1937	12307
136	1951	12295
137	1965	12278
138	1980	12268
139	1995	12257
140	2010	12246
141	2026	12242
142	2041	12235
143	2055	12216
144	2069	12205
145	2083	12186
146	2097	12171
147	2113	12165
148	2127	12152
149	2143	12148
150	2159	12140
151	2173	12125
152	2187	12107
153	2201	12092
154	2214	12073
155	2228	12057
156	2241	12033
157	2256	12025
158	2270	12007
159	2284	11992
160	2298	11976
161	2311	11957
162	2324	11935
163	2338	11921
164	2353	11909
165	2366	11892
166	2381	11878
167	2395	11864
168	2411	11857
169	2426	11848
170	2441	11837
171	2456	11823
172	2471	11813
173	2486	11802
174	2500	11789
175	2516	11780
176	2529	11763
177	2543	11745
178	2555	11722
179	2569	11703
180	2582	11683
181	2595	11664
182	2609	11649
183	2623	11633
184	2637	11619
185	2651	11605
186	2665	11589
187	2679	11575
188	2693	11559
189	2707	11544
190	2722	11529
191	2736	11515
192	2751	11503
193	2764	11486
194	2779	11474
195	2793	11458
196	2808	11446
197	2823	11438
198	2838	11426
199	2853	11412
200	2868	11402
201	2883	11390
202	2898	11378
203	2912	11363
204	2926	11348
205	2940	11335
206	2954	11318
207	2968	11303
208	2982	11289
209	2997	11276
210	3011	11262
211	3026	11248
212	3040	11235
213	3055	11223
214	3071	11212
215	3085	11200
216	3099	11184
217	3112	11165
218	3126	11150
219	3141	11137
220	3155	11122
221	3169	11108
222	3184	11096
223	3199	11083
224	3212	11066
225	3227	11052
226	3240	11035
227	3255	11022
228	3268	11004
229	3282	10989
230	3296	10974
231	3309	10957
232	3323	10939
233	3336	10921
234	3349	10905
235	3363	10889
236	3378	10875
237	3392	10861
238	3407	10848
239	3420	10832
240	3435	10820
241	3450	10806
242	3464	10791
243	3477	10775
244	3491	10760
245	3506	10747
246	3520	10732
247	3534	10718
248	3549	10704
249	3563	10689
250	3576	10673
251	3590	10657
252	3604	10641
253	3617	10623
254	3630	10605
255	3644	10590
256	3657	10573
257	3670	10557
258	3684	10541
259	3698	10525
260	3712	10512
261	3728	10502
262	3741	10484
263	3754	10467
264	3768	10451
265	3781	10435
266	3795	10419
267	3809	10405
268	3822	10388
269	3836	10372
270	3849	10355
271	3864	10341
272	3877	10326
273	3892	10312
274	3906	10299
275	3922	10288
276	3937	10277
277	3952	10265
278	3967	10254
279	3982	10240
280	3998	10231
281	4014	10220
282	4030	10210
283	4045	10199
284	4061	10188
285	4075	10174
286	4089	10160
287	4105	10149
288	4119	10135
289	4134	10122
290	4149	10109
291	4163	10094
292	4177	10080
293	4192	10067
294	4207	10054
295	4222	10041
296	4236	10027
297	4250	10013
298	4265	10001
299	4280	9987
300	4295	9975
301	4310	9963
302	4326	9951
303	4341	9938
304	4356	9926
305	4370	9911
306	4383	9895
307	4397	9879
308	4411	9864
309	4425	9849
310	4439	9835
311	4454	9821
312	4468	9807
313	4482	9793
